car_name,engine_displacement,no_cylinder,transmission_type,body_type,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
maruti alto k10,-0.8777088292553972,-0.6749950878896623,automatic,hatchback,-0.6681476579317714,-0.6807236301831474,-1.3266914378343575,0.09647393449441599,-1.0407741437710631,0.35743401850403117
maruti brezza,-0.5663315824484295,-0.2801132353202057,automatic,suv,-0.6385987702449396,-0.6282015209192892,-1.1246045189801184,0.6621463832934726,-0.8545542886207835,0.6092005200873704
mahindra thar,-0.08181784927034627,-0.2801132353202057,automatic,suv,-0.5976735607986775,-0.6148287329517386,-0.4346341182058125,-0.34349352568262803,-0.7076613310940606,-0.5237487370376561
mahindra xuv700,-0.07242284613392914,-0.2801132353202057,automatic,suv,-0.6002590884712753,-0.5595933043901165,0.19952985309410107,-0.34349352568262803,-0.43625910480659147,-0.6496319878293257
mahindra scorpio-n,-0.07242284613392914,-0.2801132353202057,automatic,suv,-0.6090498825581078,-0.5639862975388771,-0.011858137339203446,-0.37491977283813116,-0.4877105005117188,-0.6496319878293257
toyota fortuner,0.3013640643649522,-0.2801132353202057,automatic,suv,-0.4582766831360483,-0.39815080617316495,0.41091784352740557,-0.34349352568262803,-0.33900404968219666,-0.6999852881459936
hyundai creta,-0.5455283612177916,-0.2801132353202057,automatic,suv,-0.6205000765367551,-0.6009391222608044,-0.646022108639117,-0.37491977283813116,-0.7934136572692728,-0.3978654862459865
tata punch,-0.7428234270825512,-0.6749950878896623,automatic,suv,-0.653816447403658,-0.6570789905883477,-1.2252252024263715,0.033621440183409707,-0.9435190886466683,0.6092005200873704
mahindra bolero,-0.5421730029547854,-0.6749950878896623,manual,suv,-0.628699892869851,-0.6521045718757806,-0.8151325009857606,-0.7206084915486658,-0.9928461064828027,-0.5992786875126579
maruti swift,-0.7441655703877537,-0.2801132353202057,automatic,hatchback,-0.653890319622875,-0.6612135723754166,-1.2252252024263715,0.6621463832934726,-0.9226898227116622,0.6092005200873704
tata nexon,-0.5428440746073867,-0.2801132353202057,automatic,suv,-0.6414797867944058,-0.6274262868342138,-0.6037445105524561,-0.37491977283813116,-0.8191134480746536,-0.3978654862459865
hyundai venue,-0.8777088292553972,-0.6749950878896623,automatic,suv,-0.6419968923289253,-0.636212273131735,-0.9757873737150721,0.41073640604944744,-0.767713866463892,0.6092005200873704
kia seltos,-0.5455283612177916,-0.2801132353202057,automatic,suv,-0.6201307154406697,-0.5979027887609257,-0.646022108639117,-0.37491977283813116,-0.7935172854580042,-0.3978654862459865
hyundai tucson,-0.20730824830677502,-0.2801132353202057,automatic,suv,-0.4929966261680757,-0.4952488753288585,0.055786019599454,-0.37491977283813116,-0.4293160161615894,-0.3978654862459865
tata harrier,-0.2348221860634252,-0.2801132353202057,automatic,suv,-0.5890305111502792,-0.5749687804107786,-0.22324612777250796,-0.5320510086156469,-0.5124776376185173,-0.5237487370376561
maruti baleno,-0.7441655703877537,-0.2801132353202057,automatic,hatchback,-0.6496796031275015,-0.6556577280990429,-1.2252252024263715,0.6621463832934726,-0.9226898227116622,0.6092005200873704
toyota innova crysta,0.0584361261233094,-0.2801132353202057,automatic,muv,-0.565686889877682,-0.5469311476672183,-0.18096852968584706,-0.4691985143046406,-0.6143959612358237,-0.6999852881459936
maruti ertiga,-0.5663315824484295,-0.2801132353202057,automatic,muv,-0.6359393703531248,-0.6357600532487743,-1.1246045189801184,0.6621463832934726,-0.8545542886207835,0.6092005200873704
kia sonet,-0.5455283612177916,-0.2801132353202057,automatic,suv,-0.6422923812057936,-0.6292997692064793,-0.646022108639117,-0.37491977283813116,-0.7935172854580042,-0.3978654862459865
maruti dzire,-0.7441655703877537,-0.2801132353202057,automatic,sedan,-0.6515264086079285,-0.6590816786414592,-1.2252252024263715,0.6621463832934726,-0.9226898227116622,0.6092005200873704
honda city 4th generation,-0.5428440746073867,-0.2801132353202057,manual,sedan,-0.6274440651431605,-0.6537842457267773,-1.0899368885490566,0.7878513719154852,-0.7719108081075127,0.9113203219873774
land rover range rover,1.3831315683581242,1.299414174957621,automatic,suv,1.067923365888816,1.9755513594872793,1.2564698052606236,-0.21778853706061546,0.41141947901604997,-0.3978654862459865
tata tiago,-0.7428234270825512,-0.6749950878896623,manual,hatchback,-0.6577316750221632,-0.6678676649389803,-1.301324878982361,0.09647393449441599,-1.0081830784150458,0.6092005200873704
hyundai i20,-0.8777088292553972,-0.6749950878896623,automatic,hatchback,-0.6456905032897793,-0.643835408301643,-0.9773939224423651,0.41073640604944744,-0.7679729369357203,0.6092005200873704
mahindra xuv300,-0.5428440746073867,-0.2801132353202057,automatic,suv,-0.6354961370378223,-0.6274908896746367,-0.4346341182058125,-0.5320510086156469,-0.7853824726425913,-0.5237487370376561
mg hector,-0.2348221860634252,-0.2801132353202057,manual,suv,-0.5930934832072186,-0.588470774059175,-0.22324612777250796,-0.5320510086156469,-0.5124258235241514,-0.5237487370376561
tata altroz,-0.5428440746073867,-0.2801132353202057,manual,hatchback,-0.651083175292626,-0.6521691747162035,-0.8574100990724215,-0.21778853706061546,-0.9212908421637888,-0.3978654862459865
mahindra scorpio classic,-0.08181784927034627,-0.2801132353202057,manual,suv,-0.6090498825581078,-0.6183172863345778,-0.4346341182058125,-0.34349352568262803,-0.7072986324335008,-0.5237487370376561
hyundai verna,-0.5455283612177916,-0.2801132353202057,automatic,sedan,-0.6281089151161143,-0.6185756976962696,-0.646022108639117,-0.37491977283813116,-0.7934136572692728,-0.3978654862459865
citroen c3,-0.7428234270825512,-0.6749950878896623,manual,hatchback,-0.6554416362264337,-0.6663171967688296,-0.8996876971590825,-1.003444715948194,-0.8184398648478997,0.35743401850403117
honda city,-0.5421730029547854,-0.2801132353202057,manual,sedan,-0.6121525157652251,-0.618123477813309,-0.8574100990724215,-1.003444715948194,-0.874036388102282,-0.5992786875126579
maruti celerio,-0.8777088292553972,-0.6749950878896623,automatic,hatchback,-0.6588397583104194,-0.6731650978536622,-1.3266914378343575,0.09647393449441599,-1.0407741437710631,0.35743401850403117
nissan magnite,-0.8770377576027959,-0.6749950878896623,automatic,suv,-0.6535209585267897,-0.6486806213333642,-1.060342569888394,0.6621463832934726,-0.8702021451192211,0.10566751692069194
renault kwid,-0.8770377576027959,-0.6749950878896623,automatic,hatchback,-0.6633459636826613,-0.6796899847363802,-1.3182359182170253,0.5678676418269631,-1.0337792410316953,0.35743401850403117
land rover defender,1.805906709496895,-0.2801132353202057,automatic,suv,-0.10132611987911971,0.6964151191128735,1.045081814827319,-0.5320510086156469,0.15431794277351046,-0.3978654862459865
maruti alto 800,-1.0132653030808443,-0.6749950878896623,manual,hatchback,-0.6725799910847963,-0.6858918574169833,-1.4492964722856743,0.09647393449441599,-1.17212287298808,0.6092005200873704
hyundai kona electric,-1.547438338551418,-1.8596406455980323,electric,suv,-0.5215113027858684,-0.5631464606133787,-0.0329969363825339,-2.1033633663908042,-0.6864175524041289,-2.4119974989127004
tata tigor,-0.7428234270825512,-0.6749950878896623,manual,sedan,-0.6532993418691384,-0.6628932462264132,-1.301324878982361,0.09647393449441599,-1.0061105146404183,0.6092005200873704
renault kiger,-0.8770377576027959,-0.6749950878896623,automatic,suv,-0.6533732140883555,-0.6497788696205544,-1.060342569888394,0.6621463832934726,-0.8702021451192211,0.10566751692069194
maruti s-presso,-0.8777088292553972,-0.6749950878896623,automatic,hatchback,-0.6662269802321273,-0.6796899847363802,-1.3266914378343575,0.09647393449441599,-1.0407741437710631,0.35743401850403117
mg astor,-0.6421626791923677,-0.6749950878896623,automatic,suv,-0.6221252653595308,-0.6012621364629192,-0.7728549028990997,0.15932642880542228,-0.6657955428465854,0.407787318820699
lamborghini urus,1.1341639852430705,1.299414174957621,automatic,suv,1.6293522319386209,1.4974903403574509,1.8906337765605372,0.7249988776044789,1.9400388909925514,0.6092005200873704
honda amaze,-0.5421730029547854,-0.2801132353202057,automatic,sedan,-0.6486453920584624,-0.6440938196633348,-1.026520491419065,-1.003444715948194,-0.9712914432266767,-0.5992786875126579
renault triber,-0.8770377576027959,-0.6749950878896623,automatic,muv,-0.653890319622875,-0.6634100689497968,-1.2970971191736949,0.09647393449441599,-1.0133644878516146,0.73508377087904
hyundai alcazar,-0.5455283612177916,-0.2801132353202057,automatic,suv,-0.5802397170634467,-0.5875663342932538,-0.646022108639117,-0.37491977283813116,-0.7935690995523698,-0.3978654862459865
hyundai aura,-0.8777088292553972,-0.6749950878896623,manual,sedan,-0.6526344918961847,-0.6610843666945706,-0.9757873737150721,0.41073640604944744,-0.8702021451192211,0.6092005200873704
volkswagen virtus,-0.5421730029547854,-0.2801132353202057,automatic,sedan,-0.6147380434378229,-0.602618796111801,-0.646022108639117,0.09647393449441599,-0.6169348518597425,0.6092005200873704
skoda slavia,-0.5421730029547854,-0.2801132353202057,automatic,sedan,-0.6164371044798157,-0.5995824626119224,-0.646022108639117,0.09647393449441599,-0.6168830377653767,0.6092005200873704
maruti ignis,-0.7441655703877537,-0.2801132353202057,automatic,hatchback,-0.6581010361182487,-0.6685136933432099,-1.2252252024263715,0.53644139467146,-0.9574052659366725,0.6092005200873704
mercedes-benz gla,-0.23884861597903254,-0.2801132353202057,automatic,suv,-0.3659364091146988,-0.4024791964815026,-0.011858137339203446,-0.4691985143046406,-0.4084867502265831,-0.4985720868793222
volvo xc90,-0.22609825457960928,-0.2801132353202057,automatic,hybrid,-0.003962534951008816,-0.09400063346191731,1.0028042167406583,-1.0097299653792946,0.6913192167794917,-2.4119974989127004
skoda kushaq,-0.5421730029547854,-0.2801132353202057,automatic,suv,-0.6142209379033033,-0.5924761501653979,-0.646022108639117,0.09647393449441599,-0.6169348518597425,0.6092005200873704
maruti xl6,-0.5663315824484295,-0.2801132353202057,automatic,muv,-0.6142209379033033,-0.6243899533343351,-1.1246045189801184,0.6621463832934726,-0.8545542886207835,0.6092005200873704
