car_name,engine_displacement,no_cylinder,transmission_type,body_type,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
maruti alto k10,998,3,automatic,hatchback,399000,583000,89.0,3500,65.71,5500
maruti brezza,1462,4,automatic,suv,799000,1396000,136.8,4400,101.65,6000
mahindra thar,2184,4,automatic,suv,1353000,1603000,300.0,2800,130.0,3750
mahindra xuv700,2198,4,automatic,suv,1318000,2458000,450.0,2800,182.38,3500
mahindra scorpio-n,2198,4,automatic,suv,1199000,2390000,400.0,2750,172.45,3500
toyota fortuner,2755,4,automatic,suv,3240000,4957000,500.0,2800,201.15,3400
hyundai creta,1493,4,automatic,suv,1044000,1818000,250.0,2750,113.45,4000
tata punch,1199,3,automatic,suv,593000,949000,113.0,3400,84.48,6000
mahindra bolero,1498,3,manual,suv,933000,1026000,210.0,2200,74.96,3600
maruti swift,1197,4,automatic,hatchback,592000,885000,113.0,4400,88.5,6000
tata nexon,1497,4,automatic,suv,760000,1408000,260.0,2750,108.49,4000
hyundai venue,998,3,automatic,suv,753000,1272000,172.0,4000,118.41,6000
kia seltos,1493,4,automatic,suv,1049000,1865000,250.0,2750,113.43,4000
hyundai tucson,1997,4,automatic,suv,2770000,3454000,416.0,2750,183.72,4000
tata harrier,1956,4,automatic,suv,1470000,2220000,350.0,2500,167.67,3750
maruti baleno,1197,4,automatic,hatchback,649000,971000,113.0,4400,88.5,6000
toyota innova crysta,2393,4,automatic,muv,1786000,2654000,360.0,2600,148.0,3400
maruti ertiga,1462,4,automatic,muv,835000,1279000,136.8,4400,101.65,6000
kia sonet,1493,4,automatic,suv,749000,1379000,250.0,2750,113.43,4000
maruti dzire,1197,4,automatic,sedan,624000,918000,113.0,4400,88.5,6000
honda city 4th generation,1497,4,manual,sedan,950000,1000000,145.0,4600,117.6,6600
land rover range rover,4367,8,automatic,suv,23900000,41700000,700.0,3000,345.98,4000
tata tiago,1199,3,manual,hatchback,540000,782000,95.0,3500,72.0,6000
hyundai i20,998,3,automatic,hatchback,703000,1154000,171.62,4000,118.36,6000
mahindra xuv300,1497,4,automatic,suv,841000,1407000,300.0,2500,115.0,3750
mg hector,1956,4,manual,suv,1415000,2011000,350.0,2500,167.68,3750
tata altroz,1497,4,manual,hatchback,630000,1025000,200.0,3000,88.77,4000
mahindra scorpio classic,2184,4,manual,suv,1199000,1549000,300.0,2800,130.07,3750
hyundai verna,1493,4,automatic,sedan,941000,1545000,250.0,2750,113.45,4000
citroen c3,1199,3,manual,hatchback,571000,806000,190.0,1750,108.62,5500
honda city,1498,4,manual,sedan,1157000,1552000,200.0,1750,97.89,3600
maruti celerio,998,3,automatic,hatchback,525000,700000,89.0,3500,65.71,5500
nissan magnite,999,3,automatic,suv,597000,1079000,152.0,4400,98.63,5000
renault kwid,999,3,automatic,hatchback,464000,599000,91.0,4250,67.06,5500
land rover defender,4997,4,automatic,suv,8072000,21900000,650.0,2500,296.36,4000
maruti alto 800,796,3,manual,hatchback,339000,503000,60.0,3500,40.36,6000
hyundai kona electric,0,0,electric,suv,2384000,2403000,395.0,0,134.1,0
tata tigor,1199,3,manual,sedan,600000,859000,95.0,3500,72.4,6000
renault kiger,999,3,automatic,suv,599000,1062000,152.0,4400,98.63,5000
maruti s-presso,998,3,automatic,hatchback,425000,599000,89.0,3500,65.71,5500
mg astor,1349,3,automatic,suv,1022000,1813000,220.0,3600,138.08,5600
lamborghini urus,3996,8,automatic,suv,31500000,34300000,850.0,4500,641.0,6000
honda amaze,1498,4,automatic,sedan,663000,1150000,160.0,1750,79.12,3600
renault triber,999,3,automatic,muv,592000,851000,96.0,3500,71.0,6250
hyundai alcazar,1493,4,automatic,suv,1589000,2025000,250.0,2750,113.42,4000
hyundai aura,998,3,manual,sedan,609000,887000,172.0,4000,98.63,6000
volkswagen virtus,1498,4,automatic,sedan,1122000,1792000,250.0,3500,147.51,6000
skoda slavia,1498,4,automatic,sedan,1099000,1839000,250.0,3500,147.52,6000
maruti ignis,1197,4,automatic,hatchback,535000,772000,113.0,4200,81.8,6000
mercedes-benz gla,1950,4,automatic,suv,4490000,4890000,400.0,2600,187.74,3800
volvo xc90,1969,4,automatic,hybrid,9390000,9665000,640.0,1740,400.0,0
skoda kushaq,1498,4,automatic,suv,1129000,1949000,250.0,3500,147.51,6000
maruti xl6,1462,4,automatic,muv,1129000,1455000,136.8,4400,101.65,6000
jeep wrangler,1998,4,automatic,suv,5635000,6035000,400.0,3000,268.0,5250
maruti eeco,1196,4,manual,minivan,463000,594000,85.0,3000,61.68,6000
force gurkha,2596,4,manual,suv,1449000,1449000,250.0,2400,89.84,3200
maruti s-cross,1462,4,automatic,suv,895000,1292000,138.0,4400,103.25,6000
maruti ciaz,1462,4,automatic,sedan,899000,1198000,138.0,4400,103.25,6000
hyundai santro,1086,4,manual,hatchback,490000,642000,85.3,4501,59.17,5500
volkswagen taigun,1498,4,automatic,suv,1140000,1860000,250.0,3500,147.51,6000
bmw x7,2993,6,automatic,suv,11800000,17800000,760.0,3000,394.26,4400
audi q7,2995,6,automatic,suv,8249000,8808000,500.0,4500,335.25,6400
toyota vellfire,2494,4,automatic,muv,9260000,9260000,198.0,4000,115.32,4700
toyota hilux,2755,4,automatic,pickup truck,3399000,3680000,500.0,2800,201.15,3400
mg gloster,1996,4,automatic,suv,3150000,3950000,480.0,2400,215.01,4000
lamborghini aventador,6498,12,automatic,coupe,62500000,90000000,720.0,6750,759.01,8500
