learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss
0.01,100,0.0,0.0,0.3,0.724907768762909,0.24823639093161454,0.9627358956624839,0.39468381864321345,0.3291629157526406
0.01,100,0.0,0.0,0.4,0.78884642486278,0.2983164551410346,0.9363633369561638,0.45245428186025477,0.3307188524385225
0.01,100,0.0,0.0,0.5,0.8434378316387662,0.3618005073292615,0.8910713697592465,0.5146310802371105,0.32967224097289793
0.01,100,0.0,0.0,0.6,0.8921532841509476,0.45745336682399323,0.8457695221157329,0.5937380827775837,0.3298196998531961
0.01,100,0.0,0.0,0.7,0.9253243641094109,0.5769250913936427,0.7494219938741231,0.6517146386234456,0.32945223733771745
0.01,100,0.0,0.001,0.3,0.7253884381454474,0.24842105941155124,0.9615897638573262,0.3948192610032651,0.32880793561005206
0.01,100,0.0,0.001,0.4,0.7892203707507446,0.2986081476217728,0.935790271053585,0.45272597855068525,0.330060942383828
0.01,100,0.0,0.001,0.5,0.8429036436045783,0.3610830210421049,0.892222441787702,0.5140872672627032,0.3299218287243698
0.01,100,0.0,0.001,0.6,0.8927942669998744,0.4592764276064738,0.8457678753746336,0.5952535269412493,0.3291248925223106
0.01,100,0.0,0.001,0.7,0.9246299054009335,0.5736294844772013,0.7511411915818594,0.6502250647719136,0.33024637400405904
0.01,100,0.0,0.01,0.3,0.7250679538530005,0.2482719609382642,0.9621628297599051,0.39468042516766505,0.3289433950252916
0.01,100,0.0,0.01,0.4,0.7892203564867116,0.29839046715601425,0.9340694266047492,0.45227269188503827,0.3293329282560113
0.01,100,0.0,0.01,0.5,0.8441322760832108,0.36291742097101765,0.8910713697592465,0.5157636780346284,0.32894574084849115
0.01,100,0.0,0.01,0.6,0.8923135120331382,0.4579321529668306,0.8457695221157329,0.5941377680985195,0.3298530037865567
0.01,100,0.0,0.01,0.7,0.9260722416213071,0.5803729363215041,0.7505697724203799,0.6543358548017665,0.3286905315398672
0.01,100,0.0,0.1,0.3,0.723144777081693,0.24710417120993838,0.9627375424035833,0.39322107713192395,0.33133173264202137
0.01,100,0.0,0.1,0.4,0.7895942453185443,0.2987161604928233,0.9334980074432698,0.45257179946606935,0.3291275430174899
0.01,100,0.0,0.1,0.5,0.8439720054089213,0.3626940117299995,0.8916460824029248,0.5156320248683963,0.32895788858437197
0.01,100,0.0,0.1,0.6,0.8932750362306436,0.46040641645511615,0.8451948094720547,0.5960745313006133,0.32896433390764157
0.01,100,0.0,0.1,0.7,0.9258585521435989,0.5795265518811752,0.7494219938741231,0.6533367926026761,0.3287012220591599
0.01,100,0.001,0.0,0.3,0.72501447799345,0.24829686624699523,0.9627358956624839,0.39476396310404943,0.3290643924175568
0.01,100,0.001,0.0,0.4,0.7895408835712574,0.2986325465494425,0.9334980074432698,0.45248145385415073,0.3290932557271379
0.01,100,0.001,0.0,0.5,0.8439720196729542,0.3627227814637216,0.8916477291440239,0.5156510127943874,0.32920947492211383
0.01,100,0.001,0.0,0.6,0.8908178140654777,0.4540964966169165,0.8457695221157329,0.5908653106681414,0.3315966344058331
