learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss
0.01,100,0.0,0.0,0.3,0.725174862780003,0.2483459289343445,0.9621628297599051,0.3947730704457701,0.32892679673482084
0.01,100,0.0,0.0,0.4,0.7896477069140622,0.2989971170806886,0.9352172051510061,0.45309500693949534,0.3295422738445612
0.01,100,0.0,0.0,0.5,0.8442925182294341,0.36308346049556134,0.8904983038566676,0.5158326649302859,0.328720372099505
0.01,100,0.0,0.0,0.6,0.8908178140654777,0.4540354801403622,0.8451948094720547,0.5906651613338747,0.3315336438732871
0.01,100,0.0,0.0,0.7,0.9258585664076318,0.5793020934527134,0.7511411915818595,0.6538445723068187,0.3290175209600588
0.01,100,0.0,0.001,0.3,0.7158268717264045,0.24247106027766727,0.9650298060138987,0.38754203603918563,0.3349801681634938
0.01,100,0.0,0.001,0.4,0.78387890406582,0.2927705394038115,0.9323518756381123,0.4455928556855846,0.33414304596574584
0.01,100,0.0,0.001,0.5,0.8395384158935562,0.35586317070966406,0.8922207950466028,0.5087809182004548,0.3355027313074851
0.01,100,0.0,0.001,0.6,0.8936489821186082,0.4613876992476033,0.8406053420281262,0.5957062855276176,0.3346375969019538
0.01,100,0.0,0.001,0.7,0.928956685837527,0.5959476848204165,0.7425402628198794,0.660817912956432,0.335127559212978
0.01,100,0.0,0.01,0.3,0.6734140677598622,0.2193188092157973,0.9782152619965089,0.35827636211193103,0.3857951275952738
0.01,100,0.0,0.01,0.4,0.7355907591888899,0.2522415848694558,0.9357886243124856,0.39736087065482506,0.38762017612069644
0.01,100,0.0,0.01,0.5,0.8163558105964647,0.3240889631154114,0.8945048249514211,0.4757684734522081,0.3856790199685048
0.01,100,0.0,0.01,0.6,0.8954118454235276,0.46513859382019146,0.8102081480749597,0.5908802203555477,0.3849628903486364
0.01,100,0.0,0.01,0.7,0.9449281235379366,0.7211349165243259,0.6679922932516551,0.6931379224413596,0.3853090709460939
0.01,100,0.0,0.1,0.3,0.09315741501489165,0.09315741501489165,1.0,0.17043731221947503,0.5477268665803228
0.01,100,0.0,0.1,0.4,0.6622503651592437,0.21288236885372652,0.9730527286500017,0.34932490481655987,0.5432767881058931
0.01,100,0.0,0.1,0.5,0.757277894742848,0.25855552204668075,0.8595115765899287,0.39751672412168004,0.5440440689592602
0.01,100,0.0,0.1,0.6,0.9404408727305924,0.7751648233322124,0.5068899647597405,0.6120617270315363,0.542843578006721
0.01,100,0.001,0.0,0.3,0.7209014155626304,0.24574010998283344,0.9644567401113198,0.3916665149204657,0.3316857704157038
0.01,100,0.001,0.0,0.4,0.7863357838941951,0.2953156488397161,0.9329249415406909,0.44858133002981954,0.332368564908191
0.01,100,0.001,0.0,0.5,0.8410340282770189,0.3578681895553422,0.8893538187926093,0.5103492058082386,0.3320016640339178
0.01,100,0.001,0.0,0.6,0.8917793097349171,0.4567337140349399,0.8440453841846984,0.5926449384122872,0.33346545970619645
0.01,100,0.001,0.0,0.7,0.9258585093515,0.5784545676960677,0.7540147548002503,0.6545832784110257,0.3346220874638236
0.01,100,0.001,0.001,0.3,0.7108055612611687,0.2396195268982141,0.9678951355267925,0.3841167216360965,0.3389487028343482
0.01,100,0.001,0.001,0.4,0.7801396163545696,0.28944433342187387,0.9346424925073279,0.441980640383764,0.33825817546113884
