k,accuracy,precision,recall,f1,log_loss,overall
1,0.9970731707317073,1.0,0.9942965779467681,0.9971401334604385,0.10549361967546506,0.9599417151790759
2,0.9551219512195122,0.9240282685512368,0.9942965779467681,0.9578754578754579,0.16297411757555808,0.9079068097491758
3,0.9248780487804878,0.9276190476190476,0.9258555133079848,0.9267364414843007,0.27223030089824013,0.8466316279367553
4,0.8409756097560975,0.7932148626817448,0.9334600760456274,0.8576419213973799,0.2728393995523139,0.7908127935826412
5,0.7697560975609756,0.7854330708661418,0.7585551330798479,0.7717601547388782,0.3439093363290243,0.7052342639447469
6,0.7453658536585366,0.7161500815660685,0.8346007604562737,0.7708516242317822,0.39001127476842823,0.6822710814885823
7,0.7590243902439024,0.7513513513513513,0.7927756653992395,0.7715078630897317,0.41913987996164204,0.6747444878243104
8,0.7658536585365854,0.7407407407407407,0.8365019011406845,0.7857142857142857,0.44182312493018744,0.6755760457065983
9,0.7541463414634146,0.7518382352941176,0.7775665399239544,0.7644859813084112,0.4529795461944907,0.6578682383643004
10,0.7570731707317073,0.7375643224699828,0.8174904942965779,0.7754733994589721,0.4627180636453013,0.6606755001752773
1,0.9970731707317073,1.0,0.9942965779467681,0.9971401334604385,0.10549361967546506,0.9599417151790759
2,0.9551219512195122,0.9240282685512368,0.9942965779467681,0.9578754578754579,0.16297411757555808,0.9079068097491758
3,0.9248780487804878,0.9276190476190476,0.9258555133079848,0.9267364414843007,0.27223030089824013,0.8466316279367553
4,0.8409756097560975,0.7932148626817448,0.9334600760456274,0.8576419213973799,0.2728393995523139,0.7908127935826412
5,0.7697560975609756,0.7854330708661418,0.7585551330798479,0.7717601547388782,0.3439093363290243,0.7052342639447469
6,0.7453658536585366,0.7161500815660685,0.8346007604562737,0.7708516242317822,0.39001127476842823,0.6822710814885823
7,0.7590243902439024,0.7513513513513513,0.7927756653992395,0.7715078630897317,0.41913987996164204,0.6747444878243104
8,0.7658536585365854,0.7407407407407407,0.8365019011406845,0.7857142857142857,0.44182312493018744,0.6755760457065983
9,0.7541463414634146,0.7518382352941176,0.7775665399239544,0.7644859813084112,0.4529795461944907,0.6578682383643004
10,0.7570731707317073,0.7375643224699828,0.8174904942965779,0.7754733994589721,0.4627180636453013,0.6606755001752773
1,0.9970731707317073,1.0,0.9942965779467681,0.9971401334604385,0.10549361967546506,0.9599417151790759
2,0.9551219512195122,0.9240282685512368,0.9942965779467681,0.9578754578754579,0.16297411757555808,0.9079068097491758
3,0.9248780487804878,0.9276190476190476,0.9258555133079848,0.9267364414843007,0.27223030089824013,0.8466316279367553
4,0.8409756097560975,0.7932148626817448,0.9334600760456274,0.8576419213973799,0.2728393995523139,0.7908127935826412
5,0.7697560975609756,0.7854330708661418,0.7585551330798479,0.7717601547388782,0.3439093363290243,0.7052342639447469
6,0.7453658536585366,0.7161500815660685,0.8346007604562737,0.7708516242317822,0.39001127476842823,0.6822710814885823
7,0.7590243902439024,0.7513513513513513,0.7927756653992395,0.7715078630897317,0.41913987996164204,0.6747444878243104
8,0.7658536585365854,0.7407407407407407,0.8365019011406845,0.7857142857142857,0.44182312493018744,0.6755760457065983
9,0.7541463414634146,0.7518382352941176,0.7775665399239544,0.7644859813084112,0.4529795461944907,0.6578682383643004
10,0.7570731707317073,0.7375643224699828,0.8174904942965779,0.7754733994589721,0.4627180636453013,0.6606755001752773
