learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.01,100,0.0,0.0,16,0.4,0.72,0.6835637480798771,0.8460076045627376,0.756159728122345,0.544755036561729,0.6141749748942492
0.01,100,0.0,0.0,32,0.45,0.7268292682926829,0.7009803921568627,0.8155893536121673,0.7539543057996485,0.548670239931791,0.612156489608774
0.01,100,0.0,0.0,64,0.45,0.7112195121951219,0.6813880126182965,0.8212927756653993,0.7448275862068966,0.5603651071529996,0.6002523519602504
0.01,100,0.0,0.001,16,0.4,0.7209756097560975,0.6846153846153846,0.8460076045627376,0.7568027210884354,0.5450411250226332,0.6145892073053374
0.01,100,0.0,0.001,32,0.45,0.7248780487804878,0.6986970684039088,0.8155893536121673,0.7526315789473684,0.548968293726713,0.610968960035321
0.01,100,0.0,0.001,64,0.45,0.7092682926829268,0.680379746835443,0.8174904942965779,0.7426597582037997,0.5606408154644562,0.5985462759173354
0.01,100,0.0,0.01,16,0.4,0.7160975609756097,0.6772247360482655,0.8536121673003803,0.7552565180824222,0.548072561842088,0.6120401442174347
0.01,100,0.0,0.01,32,0.45,0.7209756097560975,0.6929260450160771,0.8193916349809885,0.7508710801393729,0.5519183420783011,0.6082956019756156
0.01,100,0.0,0.01,64,0.45,0.7102439024390244,0.6803149606299213,0.8212927756653993,0.7441860465116279,0.5630333944117579,0.598768633976374
0.01,100,0.0,0.1,16,0.4,0.6907317073170731,0.6355382619974059,0.9315589353612167,0.7555898226676947,0.5828731717032102,0.5991216458972877
0.01,100,0.0,0.1,32,0.4,0.6897560975609756,0.6347150259067358,0.9315589353612167,0.7550077041602465,0.5831482858211466,0.5985659011454705
0.01,100,0.0,0.1,64,0.45,0.7112195121951219,0.6731927710843374,0.8498098859315589,0.7512605042016807,0.5867813381120291,0.594971458341186
0.01,100,0.001,0.0,16,0.4,0.7229268292682927,0.6861538461538461,0.8479087452471483,0.7585034013605442,0.5449951833981109,0.615916493649015
0.01,100,0.001,0.0,32,0.45,0.7248780487804878,0.6986970684039088,0.8155893536121673,0.7526315789473684,0.5490382034657054,0.6109437454268825
0.01,100,0.001,0.0,64,0.45,0.7112195121951219,0.6813880126182965,0.8212927756653993,0.7448275862068966,0.5608566659198982,0.6000750596114228
0.01,100,0.001,0.001,16,0.4,0.7209756097560975,0.6834862385321101,0.8498098859315589,0.7576271186440678,0.5453073120774412,0.6150438129969338
0.01,100,0.001,0.001,32,0.45,0.7248780487804878,0.6986970684039088,0.8155893536121673,0.7526315789473684,0.5493285868171388,0.6108390117716149
0.01,100,0.001,0.001,64,0.45,0.7121951219512195,0.6818897637795276,0.8231939163498099,0.7459086993970715,0.5611502347072601,0.6007713181488673
0.01,100,0.001,0.01,16,0.4,0.7190243902439024,0.6786786786786787,0.8593155893536122,0.7583892617449665,0.5484712878157042,0.6142648463611795
0.01,100,0.001,0.01,32,0.45,0.72,0.6918138041733547,0.8193916349809885,0.7502175805047868,0.5523768322399814,0.6075980720643719
0.01,100,0.001,0.01,64,0.45,0.713170731707317,0.6818181818181818,0.8269961977186312,0.7474226804123711,0.5635789683220483,0.600976200193737
0.01,100,0.001,0.1,16,0.4,0.6907317073170731,0.6355382619974059,0.9315589353612167,0.7555898226676947,0.5834299756405723,0.5989208213274927
0.01,100,0.001,0.1,32,0.4,0.6878048780487804,0.6330749354005168,0.9315589353612167,0.7538461538461538,0.5837857182033488,0.5974249074046981
0.01,100,0.001,0.1,64,0.45,0.7112195121951219,0.6731927710843374,0.8498098859315589,0.7512605042016807,0.5874292303841314,0.594737780599188
0.01,100,0.01,0.0,16,0.4,0.7297560975609756,0.6849925705794948,0.876425855513308,0.7689741451209341,0.5488058967057154,0.6222294569602859
0.01,100,0.01,0.0,32,0.4,0.7121951219512195,0.6691068814055637,0.8688212927756654,0.7559966914805625,0.553732686044695,0.6102561613265843
0.01,100,0.01,0.0,64,0.4,0.6995121951219512,0.6548295454545454,0.876425855513308,0.7495934959349594,0.5663060786506297,0.6005032478463032
0.01,100,0.01,0.001,16,0.4,0.7297560975609756,0.6844444444444444,0.8783269961977186,0.7693588676103247,0.5493374793700116,0.6223094555398845
0.01,100,0.01,0.001,32,0.4,0.7121951219512195,0.6686131386861314,0.870722433460076,0.7563996696944674,0.5541585643423905,0.6103897253118089
0.01,100,0.01,0.001,64,0.4,0.6995121951219512,0.6548295454545454,0.876425855513308,0.7495934959349594,0.5666114281315923,0.6003931163008225
0.01,100,0.01,0.01,16,0.4,0.7248780487804878,0.6783625730994152,0.8821292775665399,0.7669421487603306,0.5535936533196321,0.6187924461840605
0.01,100,0.01,0.01,32,0.4,0.7102439024390244,0.6657018813314037,0.8745247148288974,0.7559572719802794,0.5577494348943319,0.6086794009063703
0.01,100,0.01,0.01,64,0.4,0.6965853658536585,0.6511954992967651,0.8802281368821293,0.7485852869846402,0.5692685581008564,0.5985872155893521
0.01,100,0.01,0.1,16,0.4,0.6839024390243903,0.6265664160401002,0.9505703422053232,0.7552870090634441,0.5898520468260613,0.5965617969547974
0.01,100,0.01,0.1,32,0.4,0.6839024390243903,0.6265664160401002,0.9505703422053232,0.7552870090634441,0.5901443078890904,0.596456386058228
