learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.001,50,0.0,0.0,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.649897615893649,0.5550651568142653
0.001,50,0.0,0.0,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6794378943414003,0.5432859700978041
0.001,50,0.0,0.0,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910709641839056,0.539361386275697
0.001,50,0.0,0.0001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499237644746689,0.5550557257072244
0.001,50,0.0,0.0001,128,0.49999999999999994,0.7063414634146341,0.6984126984126984,0.752851711026616,0.7246111619396157,0.6793939705528034,0.5446747283020332
0.001,50,0.0,0.0001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910709692197744,0.5393613844593912
0.001,50,0.0,0.001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.649938667259067,0.5550503506639377
0.001,50,0.0,0.001,128,0.49999999999999994,0.7073170731707317,0.701067615658363,0.7490494296577946,0.7242647058823529,0.6793770002495634,0.5447012177380235
0.001,50,0.0,0.001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.691071014541874,0.5393613681128991
0.001,50,0.0,0.01,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6501371344516741,0.5549787687552994
0.001,50,0.0,0.01,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6794274973259752,0.5441213478958682
0.001,50,0.0,0.01,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910714676916394,0.5393612046736693
0.001,50,0.0001,0.0,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499364442503999,0.5550511524448327
0.001,50,0.0001,0.0,128,0.49999999999999994,0.704390243902439,0.6980461811722913,0.747148288973384,0.721763085399449,0.679411509659255,0.5427348835886212
0.001,50,0.0001,0.0,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910730336397153,0.5393606398772884
0.001,50,0.0001,0.0001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.649942263755202,0.5550490535021531
