learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.001,50,0.0,0.0,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499034584188845,0.5550630495687194
0.001,50,0.0,0.0,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6793936663972403,0.5433019219567312
0.001,50,0.0,0.0,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910709641839056,0.539361386275697
0.001,50,0.0,0.0001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499025200774262,0.5550633880038616
0.001,50,0.0,0.0001,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6793895607498778,0.5433034027560036
0.001,50,0.0,0.0001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910709692197744,0.5393613844593912
0.001,50,0.0,0.001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499280474615305,0.555054180946248
0.001,50,0.0,0.001,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6794060372317338,0.5432974601213374
0.001,50,0.0,0.001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.691071014541874,0.5393613681128991
0.001,50,0.0,0.01,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6501487238868968,0.5549745887501187
0.001,50,0.0,0.01,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.679426373049126,0.5432901255256113
0.001,50,0.0,0.01,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910714676916394,0.5393612046736693
0.001,50,0.0001,0.0,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499189401423003,0.5550574657173203
0.001,50,0.0001,0.0,128,0.49999999999999994,0.7082926829268292,0.7023172905525846,0.7490494296577946,0.7249310027598896,0.6794136559300955,0.5452508476575357
0.001,50,0.0001,0.0,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910730336397153,0.5393606398772884
0.001,50,0.0001,0.0001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.64994252248533,0.555048960184985
0.001,50,0.0001,0.0001,128,0.49999999999999994,0.704390243902439,0.6980461811722913,0.747148288973384,0.721763085399449,0.6793897517859548,0.5427427310825989
0.001,50,0.0001,0.0001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910730386706753,0.5393606380627531
0.001,50,0.0001,0.001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6499776073909425,0.5550363059801506
0.001,50,0.0001,0.001,128,0.49999999999999994,0.704390243902439,0.6980461811722913,0.747148288973384,0.721763085399449,0.6793961140095365,0.5427404363954962
0.001,50,0.0001,0.001,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910730839485975,0.5393606217321948
0.001,50,0.0001,0.01,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6501739233785576,0.5549654999547058
0.001,50,0.0001,0.01,128,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6794256028102842,0.5432904033305507
0.001,50,0.0001,0.01,1026,0.49999999999999994,0.7053658536585365,0.6985815602836879,0.7490494296577946,0.7229357798165138,0.6910735366566547,0.5393604584522774
0.001,50,0.001,0.0,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6502664621344205,0.5549321236536624
0.001,50,0.001,0.0,128,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.679522691718861,0.5440870137762339
0.001,50,0.001,0.0,1026,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6910916598752601,0.5399143905293741
0.001,50,0.001,0.0001,32,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6502752204954565,0.5549289647426542
